TIME  IN1  IN2
-1.152  3.065796  4.544067
-1.162  3.222046  4.534912
-1.172  3.377686  4.526978
-1.182  3.534546  4.520264
-1.191  3.690186  4.514771
-1.201  3.845215  4.509888
-1.211  4.157715  4.505005
-1.221  4.314575  4.505005
-1.23  4.472046  4.510498
-1.24  4.629517  4.547119
-1.25  4.788818  4.683228
-1.26  4.793701  4.720459
-1.27  4.609375  4.54834
-1.279  4.430542  4.469604
-1.289  4.25415  4.448853
-1.299  4.078979  4.434204
-1.309  3.73291  4.411621
-1.318  3.562622  4.402466
-1.328  3.391113  4.3927
-1.338  3.220825  4.383545
-1.348  3.051758  4.376831
-1.357  2.717285  4.360962
-1.367  2.550659  4.354858
-1.377  2.385254  4.348145
-1.387  2.219849  4.34082
-1.396  2.055664  4.334106
-1.406  1.729126  4.32251
-1.416  1.566772  4.316406
-1.426  1.404419  4.312134
-1.436  1.242065  4.30603
-1.445  1.080933  4.300537
-1.455  0.921021  4.296265
-1.465  0.599365  4.285278
-1.475  0.439453  4.281006
-1.484  0.279541  4.276733
-1.494  0.12085  4.27124
-1.504  -0.038452  4.266968
-1.514  -0.356445  4.158936
-1.523  -0.563354  -3.946533
-1.533  -0.718384  -4.591064
-1.543  -0.873413  -4.584351
-1.553  -1.029663  -4.560547
-1.563  -1.345215  -4.505615
-1.572  -1.501465  -4.480591
-1.582  -1.657104  -4.456787
-1.592  -1.814575  -4.435425
-1.602  -1.972046  -4.415894
-1.611  -2.283936  -4.378662
-1.621  -2.439575  -4.363403
-1.631  -2.595825  -4.348755
-1.641  -2.752686  -4.335327
-1.65  -2.908325  -4.321899
-1.66  -3.218384  -4.300537
-1.67  -3.374634  -4.290771
-1.68  -3.530273  -4.281006
-1.689  -3.685913  -4.272461
-1.699  -3.842163  -4.265747
-1.709  -3.995972  -4.258423
-1.719  -4.306641  -4.246216
-1.729  -4.46228  -4.23645
-1.738  -4.613647  -3.725586
-1.748  -4.752808  -0.88562
-1.758  -4.869995  1.877441
-1.768  -4.611206  -2.957764
-1.777  -4.438477  -4.229736
-1.787  -4.260254  -4.242554
-1.797  -4.083862  -4.237061
-1.807  -3.909912  -4.226685
-1.816  -3.567505  -4.205933
-1.826  -3.396606  -4.196167
-1.836  -3.226318  -4.186401
-1.846  -3.057251  -4.177246
-1.855  -2.890015  -4.168701
-1.865  -2.557373  -4.152832
-1.875  -2.391357  -4.144897
-1.885  -2.225952  -4.137573
-1.895  -2.061768  -4.130249
-1.904  -1.898804  -4.123535
-1.914  -1.572876  -4.110718
-1.924  -1.410522  -4.105225
-1.934  -1.247559  -4.0979
-1.943  -1.087646  -4.092407
-1.953  -0.926514  -4.086914
-1.963  -0.765381  -4.081421
-1.973  -0.443726  -4.071655
-1.982  -0.286255  -4.067383
-1.992  -0.126953  -4.064941
-2.002  0.031738  -4.052734
-2.012  0.19043  -4.031982
-2.021  0.556641  4.797363
-2.031  0.71106  4.807129
-2.041  0.86731  4.794312
-2.051  1.02478  4.771118
-2.061  1.181641  4.745483
-2.07  1.49353  4.697876
-2.08  1.64978  4.674683
-2.09  1.806641  4.654541
-2.1  1.963501  4.636841
-2.109  2.120361  4.619141
-2.119  2.43103  4.589844
-2.129  2.58728  4.577026
-2.139  2.74353  4.564209
-2.148  2.89978  4.553833
-2.158  3.054199  4.544678
-2.168  3.209839  4.534912
-2.178  3.521729  4.521484
-2.188  3.677979  4.514771
-2.197  3.833618  4.509888
-2.207  3.989258  4.507446
-2.217  4.145508  4.504395
-2.227  4.460449  4.509888
-2.236  4.61853  4.540405
-2.246  4.777222  4.671021
-2.256  4.919434  4.819946
-2.266  4.806519  4.731445
-2.275  4.442749  4.471436
-2.285  4.266357  4.450073
-2.295  4.090576  4.434814
-2.305  3.917236  4.423218
-2.314  3.745117  4.412842
-2.324  3.4021  4.3927
-2.334  3.231812  4.384766
-2.344  3.063354  4.377441
-2.354  2.896118  4.369507
-2.363  2.730103  4.361572
-2.373  2.396851  4.348145
-2.383  2.231445  4.341431
-2.393  2.067261  4.335327
-2.402  1.904297  4.329224
-2.412  1.741333  4.32251
-2.422  1.577759  4.317627
-2.432  1.253052  4.30603
-2.441  1.091919  4.301147
-2.451  0.932007  4.296875
-2.461  0.772095  4.290771
-2.471  0.610352  4.285889
-2.48  0.289917  4.276123
-2.49  0.131226  4.27124
-2.5  -0.028076  4.267578
-2.51  -0.186157  4.263306
-2.52  -0.344849  4.243774
-2.529  -0.708008  -4.589844
-2.539  -0.862427  -4.585571
-2.549  -1.019287  -4.562378
-2.559  -1.177368  -4.534912
-2.568  -1.334839  -4.508057
-2.578  -1.647339  -4.458618
-2.588  -1.804199  -4.436646
-2.598  -1.960449  -4.416504
-2.607  -2.11792  -4.397583
-2.617  -2.27356  -4.379883
-2.627  -2.585449  -4.349365
-2.637  -2.741699  -4.335327
-2.646  -2.897949  -4.32373
-2.656  -3.054199  -4.313354
-2.666  -3.207397  -4.301147
-2.676  -3.364258  -4.291382
-2.686  -3.676147  -4.274292
-2.695  -3.831787  -4.266357
-2.705  -3.986206  -4.259033
-2.715  -4.140625  -4.25293
-2.725  -4.296265  -4.246826
-2.734  -4.603271  -3.840332
-2.744  -4.743042  -1.099243
-2.754  -4.867554  1.783447
-2.764  -4.782715  0.344849
-2.773  -4.622192  -2.76062
-2.783  -4.272461  -4.242554
-2.793  -4.095459  -4.23645
-2.803  -3.922119  -4.227295
-2.813  -3.75061  -4.216919
-2.822  -3.578491  -4.205933
-2.832  -3.237305  -4.186401
-2.842  -3.067017  -4.177246
-2.852  -2.901001  -4.169312
-2.861  -2.734375  -4.160156
-2.871  -2.567749  -4.152832
-2.881  -2.236938  -4.138184
-2.891  -2.072754  -4.130859
-2.9  -1.90918  -4.123535
-2.91  -1.745605  -4.116821
-2.92  -1.582642  -4.110718
-2.93  -1.419678  -4.104614
-2.939  -1.097412  -4.092407
-2.949  -0.935669  -4.087524
-2.959  -0.774536  -4.080811
-2.969  -0.614014  -4.076538
-2.979  -0.454102  -4.071045
-2.988  -0.136719  -4.064941
-2.998  0.021973  -4.053345
-3.008  0.180054  -4.033203
-3.018  0.344849  -2.944946
-3.027  0.546875  4.794922
-3.037  0.856323  4.795532
-3.047  1.013794  4.772339
-3.057  1.170654  4.746704
-3.066  1.326904  4.7229
-3.076  1.483154  4.699097
-3.086  1.796875  4.656982
-3.096  1.953735  4.638062
-3.105  2.110596  4.620361
-3.115  2.265015  4.604492
-3.125  2.421265  4.591064
-3.135  2.733154  4.564819
-3.145  2.888794  4.555054
-3.154  3.043823  4.544678
-3.164  3.199463  4.534912
-3.174  3.355713  4.528198
-3.184  3.510742  4.520874
-3.193  3.822632  4.510498
-3.203  3.978271  4.507446
-3.213  4.134521  4.504395
-3.223  4.291382  4.503784
-3.232  4.448853  4.509277
-3.242  4.766235  4.660645
-3.252  4.914551  4.815063
-3.262  4.818726  4.744263
-3.271  4.633179  4.568481
-3.281  4.454346  4.474487
-3.291  4.102173  4.435425
-3.301  3.928223  4.423218
-3.311  3.756104  4.413452
-3.32  3.585205  4.403076
-3.33  3.414307  4.393921
-3.34  3.075562  4.377441
-3.35  2.907104  4.369507
-3.359  2.740479  4.362793
-3.369  2.573242  4.354858
-3.379  2.407227  4.347534
-3.389  2.077637  4.335938
-3.398  1.914673  4.329224
-3.408  1.751709  4.32312
-3.418  1.588745  4.318237
-3.428  1.425781  4.312134
-3.438  1.264038  4.30603
-3.447  0.942383  4.296265
-3.457  0.782471  4.290771
-3.467  0.621338  4.287109
-3.477  0.460815  4.281616
-3.486  0.300903  4.276733
-3.496  -0.0177  4.268799
-3.506  -0.175781  4.263306
-3.516  -0.333862  4.258423
-3.525  -0.535278  -2.818604
-3.535  -0.697632  -4.588623
-3.545  -1.008911  -4.564209
-3.555  -1.165771  -4.536133
-3.564  -1.323853  -4.509888
-3.574  -1.479492  -4.484253
-3.584  -1.636353  -4.459839
-3.594  -1.950684  -4.418335
-3.604  -2.106934  -4.399414
-3.613  -2.262573  -4.381714
-3.623  -2.417603  -4.365234
-3.633  -2.574463  -4.349976
-3.643  -2.886353  -4.324341
-3.652  -3.041992  -4.312134
-3.662  -3.196411  -4.301147
-3.672  -3.353271  -4.291382
-3.682  -3.508301  -4.282227
-3.691  -3.665161  -4.274292
-3.701  -3.974609  -4.259033
-3.711  -4.129028  -4.25293
-3.721  -4.284668  -4.246826
-3.73  -4.440308  -4.238281
-3.74  -4.592896  -3.942261
-3.75  -4.862061  1.655273
-3.76  -4.79248  0.549316
-3.77  -4.632568  -2.561035
-3.779  -4.46167  -4.220581
-3.789  -4.284668  -4.243164
-3.799  -3.932495  -4.227905
-3.809  -3.760986  -4.216919
-3.818  -3.588867  -4.206543
-3.828  -3.418579  -4.196777
