t,u
-2.1502E-03,1.800E+00
-2.1497E-03,2.200E+00
-2.1492E-03,1.800E+00
-2.1487E-03,2.200E+00
-2.1482E-03,1.800E+00
-2.1477E-03,2.200E+00
-2.1472E-03,2.200E+00
-2.1467E-03,2.200E+00
-2.1462E-03,2.200E+00
-2.1457E-03,1.800E+00
-2.1452E-03,1.800E+00
-2.1447E-03,2.200E+00
-2.1442E-03,2.200E+00
-2.1436E-03,2.200E+00
-2.1431E-03,2.200E+00
-2.1426E-03,1.800E+00
-2.1421E-03,1.800E+00
-2.1416E-03,1.800E+00
-2.1411E-03,2.200E+00
-2.1406E-03,1.800E+00
-2.1401E-03,2.200E+00
-2.1396E-03,2.200E+00
-2.1391E-03,1.800E+00
-2.1386E-03,1.800E+00
-2.1381E-03,2.200E+00
-2.1376E-03,2.200E+00
-2.1371E-03,2.200E+00
-2.1366E-03,2.200E+00
-2.1361E-03,2.200E+00
-2.1356E-03,2.200E+00
-2.1351E-03,1.800E+00
-2.1346E-03,2.200E+00
-2.1341E-03,2.200E+00
-2.1336E-03,2.200E+00
-2.1331E-03,1.800E+00
-2.1326E-03,1.800E+00
-2.1321E-03,2.200E+00
-2.1316E-03,1.800E+00
-2.1310E-03,2.200E+00
-2.1305E-03,2.200E+00
-2.1300E-03,2.200E+00
-2.1295E-03,2.200E+00
-2.1290E-03,1.800E+00
-2.1285E-03,1.800E+00
-2.1280E-03,1.800E+00
-2.1275E-03,2.200E+00
-2.1270E-03,1.800E+00
-2.1265E-03,2.200E+00
-2.1260E-03,2.200E+00
-2.1255E-03,2.200E+00
-2.1250E-03,2.200E+00
-2.1245E-03,2.200E+00
-2.1240E-03,2.200E+00
-2.1235E-03,2.200E+00
-2.1230E-03,2.200E+00
-2.1225E-03,1.800E+00
-2.1220E-03,2.200E+00
-2.1215E-03,2.200E+00
-2.1210E-03,1.800E+00
-2.1205E-03,1.800E+00
-2.1200E-03,1.800E+00
-2.1195E-03,1.800E+00
-2.1190E-03,2.200E+00
-2.1184E-03,1.800E+00
-2.1179E-03,2.200E+00
-2.1174E-03,1.800E+00
-2.1169E-03,1.800E+00
-2.1164E-03,2.200E+00
-2.1159E-03,2.200E+00
-2.1154E-03,2.200E+00
-2.1149E-03,1.800E+00
-2.1144E-03,2.200E+00
-2.1139E-03,2.200E+00
-2.1134E-03,2.200E+00
-2.1129E-03,2.200E+00
-2.1124E-03,1.800E+00
-2.1119E-03,1.800E+00
-2.1114E-03,2.200E+00
-2.1109E-03,1.800E+00
-2.1104E-03,1.800E+00
-2.1099E-03,2.200E+00
-2.1094E-03,1.800E+00
-2.1089E-03,1.800E+00
-2.1084E-03,1.800E+00
-2.1079E-03,1.800E+00
-2.1074E-03,2.200E+00
-2.1069E-03,1.800E+00
