time,V(n002)
7.145455771803000e-002,3.575434e+000
7.185455771803000e-002,3.326913e+000
7.225455771802999e-002,3.025924e+000
7.265455771802999e-002,2.677214e+000
7.305455771802999e-002,2.286283e+000
7.345455771802999e-002,1.859296e+000
7.385455771802998e-002,1.402987e+000
7.425455771802998e-002,9.245517e-001
7.465455771802998e-002,4.315358e-001
7.505455771802998e-002,-6.859180e-002
7.513699390109956e-002,-1.722782e-001
7.521943008416913e-002,-2.756832e-001
7.530186626723871e-002,-3.788069e-001
7.538430245030829e-002,-4.816493e-001
7.546673863337787e-002,-5.842104e-001
7.554917481644745e-002,-6.864901e-001
7.563161099951703e-002,-7.884885e-001
7.567564787074289e-002,-8.426754e-001
7.568402808786645e-002,-8.529716e-001
7.570078852211357e-002,-8.735399e-001
7.570154534096504e-002,-8.744680e-001
7.570255443276701e-002,-8.757054e-001
7.570378292386330e-002,-8.772116e-001
7.570461413982595e-002,-8.782307e-001
7.570518102596853e-002,-8.789257e-001
7.570556216476428e-002,-8.793929e-001
7.570583900451193e-002,-8.797323e-001
7.570605802181944e-002,-8.800008e-001
7.570625928726292e-002,-8.802475e-001
7.570650412098270e-002,-8.805476e-001
7.570672641865764e-002,-8.808201e-001
7.570698076767701e-002,-8.811319e-001
7.570725640879340e-002,-8.814697e-001
7.570752091428992e-002,-8.817940e-001
7.570780238477748e-002,-8.821390e-001
7.570809198099990e-002,-8.824939e-001
7.570839103603957e-002,-8.828605e-001
7.570854990113682e-002,-8.830552e-001
7.570873222752594e-002,-8.832787e-001
7.570888524992840e-002,-8.834662e-001
7.570904948195906e-002,-8.836675e-001
7.570937794602037e-002,-8.840700e-001
7.570942632443137e-002,-8.841293e-001
7.571053291500977e-002,-8.854854e-001
7.571163950558818e-002,-8.868415e-001
7.571274609616659e-002,-8.881974e-001
7.571385268674499e-002,-8.895532e-001
7.571495927732340e-002,-8.909089e-001
7.571606586790181e-002,-8.922644e-001
7.571717245848021e-002,-8.936199e-001
7.595206405617151e-002,-1.179778e+000
7.618695565386281e-002,-1.456186e+000
7.642184725155411e-002,-1.722845e+000
7.665673884924540e-002,-1.979754e+000
7.689163044693670e-002,-2.226914e+000
7.712652204462800e-002,-2.464325e+000
7.736141364231930e-002,-2.691986e+000
7.776141364231930e-002,-3.038891e+000
7.816141364231929e-002,-3.337870e+000
7.856141364231929e-002,-3.584210e+000
7.896141364231929e-002,-3.774024e+000
7.936141364231929e-002,-3.904320e+000
7.976141364231928e-002,-3.973043e+000
8.016141364231928e-002,-3.979108e+000
8.056141364231928e-002,-3.922420e+000
8.096141364231928e-002,-3.803874e+000
8.136141364231928e-002,-3.625337e+000
8.176141364231927e-002,-3.389628e+000
8.216141364231927e-002,-3.100461e+000
8.256141364231927e-002,-2.762399e+000
8.296141364231927e-002,-2.380772e+000
8.336141364231926e-002,-1.961599e+000
8.376141364231926e-002,-1.511490e+000
8.416141364231926e-002,-1.037544e+000
8.456141364231926e-002,-5.472355e-001
8.496141364231925e-002,-4.824176e-002
8.532425619439979e-002,4.064757e-001
8.566067201070968e-002,8.242301e-001
8.567481370063322e-002,8.416498e-001
8.570309708048031e-002,8.763705e-001
8.570346032853482e-002,8.768161e-001
8.570418682464383e-002,8.777068e-001
8.570426226477046e-002,8.777993e-001
8.570441314502372e-002,8.779843e-001
8.570471490553024e-002,8.783543e-001
8.570511375962164e-002,8.788432e-001
8.570547428111362e-002,8.792852e-001
8.570574627130823e-002,8.796186e-001
8.570596293524316e-002,8.798842e-001
8.570617387459829e-002,8.801428e-001
8.570640777359836e-002,8.804295e-001
8.570666399091514e-002,8.807436e-001
8.570694520158406e-002,8.810883e-001
8.570721006679027e-002,8.814129e-001
8.570749022711820e-002,8.817564e-001
8.570777161388136e-002,8.821012e-001
8.570809805299831e-002,8.825014e-001
8.570827788036109e-002,8.827218e-001
8.570844297222012e-002,8.829241e-001
8.570861816899736e-002,8.831388e-001
8.570878691770473e-002,8.833457e-001
8.570899265504316e-002,8.835978e-001
8.570903400704358e-002,8.836485e-001
8.570961293504943e-002,8.843580e-001
8.571196842525551e-002,8.872445e-001
8.575437308844440e-002,9.391336e-001
8.579677775163330e-002,9.907725e-001
8.583918241482219e-002,1.042161e+000
8.588158707801109e-002,1.093299e+000
8.592399174119998e-002,1.144188e+000
8.596639640438888e-002,1.194825e+000
8.600880106757777e-002,1.245213e+000
8.630049241655813e-002,1.584470e+000
8.670049241655813e-002,2.028668e+000
8.710049241655812e-002,2.442449e+000
8.750049241655812e-002,2.817711e+000
8.790049241655812e-002,3.148537e+000
8.830049241655812e-002,3.429708e+000
8.870049241655811e-002,3.656790e+000
8.910049241655811e-002,3.826202e+000
8.950049241655811e-002,3.935273e+000
8.990049241655811e-002,3.983760e+000
9.026300469218311e-002,3.972113e+000
9.066300469218311e-002,3.898115e+000
9.106300469218311e-002,3.764117e+000
9.146300469218310e-002,3.570757e+000
9.186300469218310e-002,3.321084e+000
9.226300469218310e-002,3.019035e+000
9.266300469218310e-002,2.669374e+000
9.306300469218309e-002,2.277616e+000
9.346300469218309e-002,1.849939e+000
