time,V(n002)
6.822591309204293e-002,3.394648e+000
6.822599889710322e-002,3.394705e+000
6.822610616367619e-002,3.394776e+000
6.822620333213976e-002,3.394841e+000
6.822631598917621e-002,3.394916e+000
6.822641914739225e-002,3.394984e+000
6.822647666498433e-002,3.395022e+000
6.822661624339979e-002,3.395115e+000
6.822698995369522e-002,3.395364e+000
6.822738344515758e-002,3.395625e+000
6.822780730679968e-002,3.395906e+000
6.822787565023876e-002,3.395952e+000
6.822883189758749e-002,3.396587e+000
6.822978814493622e-002,3.397221e+000
6.823074439228495e-002,3.397855e+000
6.823170063963367e-002,3.398489e+000
6.823265688698241e-002,3.399123e+000
6.823361313433113e-002,3.399756e+000
6.823456938167986e-002,3.400389e+000
6.881332242386976e-002,3.719380e+000
6.939207546605963e-002,3.912990e+000
6.997082850824953e-002,3.981217e+000
7.054958155043940e-002,3.924062e+000
7.112833459262929e-002,3.741525e+000
7.170708763481917e-002,3.433606e+000
7.228584067700906e-002,3.000305e+000
7.268584067700906e-002,2.648086e+000
7.308584067700906e-002,2.254105e+000
7.348584067700906e-002,1.824576e+000
7.388584067700905e-002,1.366271e+000
7.428584067700905e-002,8.864202e-001
7.468584067700905e-002,3.925897e-001
7.508584067700905e-002,-1.074322e-001
7.548584067700905e-002,-6.057599e-001
7.588584067700904e-002,-1.094534e+000
7.628584067700904e-002,-1.566047e+000
7.668584067700904e-002,-2.012863e+000
7.708584067700904e-002,-2.431779e+000
7.733090726907677e-002,-2.669727e+000
7.761001284598734e-002,-2.919345e+000
7.786540012199564e-002,-3.128295e+000
7.817271945551298e-002,-3.358801e+000
7.818013463170592e-002,-3.363861e+000
7.819496498409181e-002,-3.373913e+000
7.819867257218829e-002,-3.376415e+000
7.820608774838124e-002,-3.381400e+000
7.821346981960255e-002,-3.386350e+000
7.821506088363141e-002,-3.387414e+000
7.821824301168914e-002,-3.389540e+000
7.821903854370357e-002,-3.390070e+000
7.822062960773243e-002,-3.391131e+000
7.822189228239598e-002,-3.391973e+000
7.822287075128802e-002,-3.392624e+000
7.822302459973986e-002,-3.392727e+000
7.822333229664355e-002,-3.392931e+000
7.822394769045094e-002,-3.393341e+000
7.822442371840149e-002,-3.393658e+000
7.822478490995280e-002,-3.393898e+000
7.822505413490037e-002,-3.394077e+000
7.822529038157149e-002,-3.394234e+000
7.822547397722755e-002,-3.394356e+000
7.822560673734783e-002,-3.394444e+000
7.822570549874694e-002,-3.394510e+000
7.822578726752942e-002,-3.394564e+000
7.822586474597600e-002,-3.394616e+000
7.822595727244953e-002,-3.394677e+000
7.822604267562196e-002,-3.394734e+000
7.822614999243946e-002,-3.394805e+000
7.822624697074264e-002,-3.394870e+000
7.822635931541008e-002,-3.394944e+000
7.822646835038918e-002,-3.395017e+000
7.822652728672179e-002,-3.395056e+000
7.822666539672034e-002,-3.395148e+000
7.822685546727225e-002,-3.395274e+000
7.822707146321915e-002,-3.395418e+000
7.822750345511295e-002,-3.395705e+000
7.822791157405620e-002,-3.395976e+000
7.822797531734976e-002,-3.396018e+000
7.822923439028749e-002,-3.396854e+000
7.823049346322521e-002,-3.397689e+000
7.823175253616294e-002,-3.398523e+000
7.823301160910065e-002,-3.399358e+000
7.823427068203838e-002,-3.400191e+000
7.823552975497609e-002,-3.401024e+000
7.823678882791382e-002,-3.401856e+000
7.881540755394462e-002,-3.720305e+000
7.939402627997542e-002,-3.913432e+000
7.997264500600622e-002,-3.981238e+000
8.055126373203701e-002,-3.923723e+000
8.112988245806782e-002,-3.740887e+000
8.170850118409861e-002,-3.432730e+000
8.228711991012941e-002,-2.999252e+000
8.268711991012941e-002,-2.646890e+000
8.308711991012940e-002,-2.252785e+000
8.348711991012940e-002,-1.823152e+000
8.388711991012940e-002,-1.364767e+000
8.428711991012940e-002,-8.848591e-001
8.468711991012939e-002,-3.909962e-001
8.508711991012939e-002,1.090329e-001
8.548711991012939e-002,6.073424e-001
